Category,Neighbourhood Information,Population,Population,"Families, households and marital status",Income,Population,Population,Population,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Population and dwellings,Household and dwelling characteristics,Income of households in 2015,Age characteristics,Age characteristics,Age characteristics,Income of individuals in 2015,Income of economic families in 2015,Income of economic families in 2015,Low income in 2015
Characteristic,Neighbourhood Name,"Population, 2016",Population density per square kilometre, Average household size,  Average after-tax income of households in 2015 ($),Youth (0-24 years),Working Age (25-54 years),Seniors (55+ years),  Number of employment income recipients aged 15 years and over in private households - 100% data,  In the bottom half of the distribution,  In the top half of the distribution,"In low income based on the Low-income cut-offs, after tax (LICO-AT)"
48,Hillcrest Village,"16,934","3,148",2.64,"298,716","4,285","6,060","7,200","8,670","8,870","8,050","3,225"
49,Bayview Woods-Steeles,"13,154","3,240",2.7,"253,036","3,150","4,490","6,250","6,775","6,085","6,575","1,945"
50,Newtonbrook East,"16,097","3,926",2.54,"335,768","3,770","6,860","6,145","8,545","8,690","6,840","3,860"
51,Willowdale East,"50,434","10,087",2.25,"572,155","12,860","25,850","12,560","27,935","28,045","22,210","13,395"
52,Bayview Village,"21,396","4,195",2.22,"354,894","4,920","10,310","6,765","12,515","10,745","10,395","4,310"
53,Henry Farm,"15,723","6,047",2.47,"202,357","4,835","8,045","2,985","8,960","10,350","5,360","3,985"
54,O'Connor-Parkview,"18,675","3,780",2.48,"354,525","5,495","7,855","5,770","10,275","10,430","8,070","3,685"
55,Thorncliffe Park,"21,108","6,787",2.93,"195,114","8,055","9,020","4,455","8,660","17,230","3,610","7,590"
56,Leaside-Bennington,"16,828","3,596",2.59,"841,619","5,460","6,455","5,290","9,990","3,385","13,265",975
57,Broadview North,"11,499","6,764",2,"126,349","2,510","5,680","3,555","6,975","6,555","4,780","2,100"
58,Old East York,"9,233","3,997",2.43,"257,522","2,385","4,035","3,030","5,535","3,915","5,305","1,060"
59,Danforth-East York,"17,180","7,881",2.43,"334,260","4,470","7,930","5,155","10,115","7,115","9,965","1,910"
60,Woodbine-Lumsden,"7,865","6,722",2.27,"147,462","1,840","3,790","2,370","4,905","3,490","4,355","1,060"
61,Taylor-Massey,"15,683","15,528",2.47,"102,259","4,640","7,580","3,725","8,170","11,880","3,610","4,230"
62,East End-Danforth,"21,381","8,038",2.29,"304,010","5,945","9,990","5,765","12,575","9,520","11,500","3,490"
63,The Beaches,"21,567","6,058",2.27,"659,192","5,900","9,590","6,360","13,535","5,760","15,685","1,750"
